id;i_d;name;surname;telephone;address
1;41418;a;deposit;0311664330;Practical Pastourelle
2;32409;digital;Manager models;0486739356;Avon Account
3;60519;virtual withdrawal;navigate attitude;0691930992;monetize
4;2808;digital c Soft;multi-byte Account;0429135003;Granite
5;67319;Real Irlande;Savings;0343344622;a Naira Salomon
6;19427;IB Intelligent Investment;USB;0558054821;SQL
7;18257;HDD Avon withdrawal;Soft distributed Tanzanian;+33 742860;invoice green
8;39274;Keyboard pixel;Market Mille b;0356507692;Loan multi-byte
9;89551;synthesize Money Handcrafted;Handcrafted la PCI;+33 575315;Avon Re-contextualized Provence
10;67690;Coordinateur redefine a;Steel;0799524416;Lesotho b
